"gender","gender_other","residence","residence_other","nationality","nationality_other","task_comp_check1","task_comp_check2","task_comp_check3","timing_ctrl1q","timing_ctrl1a","timing_ctrl2q","timing_ctrl2a","timing_ctrl3q","timing_ctrl3a","timing_ctrl4q","timing_ctrl4a","timing_ctrl5q","timing_ctrl5a","timing_prep1q","timing_prep1a","timing_prep2q","timing_prep2a","timing_prep3q","timing_prep3a","timing_prep4q","timing_prep4a","timing_prep5q","timing_prep5a","timing_prep6q","timing_prep6a","timing_prep7q","timing_prep7a","timing_prep8q","timing_prep8a","timing_prep9q","timing_prep9a","timing_prep10q","timing_prep10a","timing_prep11q","timing_prep11a","timing_prep12q","timing_prep12a","comp_check_pr1","comp_check_pr1_do","comp_check_pr2","comp_check_pr2_do","comp_check_comp1","comp_check_comp1_do","comp_check_comp2","comp_check_comp2_do","comp_check_comp3","comp_check_comp3_do","comp_check_comp4","comp_check_comp4_do","comp_choice","conf_rank","better_gender_guess","perc_task_gender_pract","perc_gender_comp","risk","preparedness","perc_gen_gender_pract","fatigue_1","fatigue_2","fab_1","fab_2","fab_3","fab_4","fab_5","fab_6","fab_do","interest","age","race_ethnicity","race_ethnicity_other","income","education","unclear","condition","score_before_task","unlimited_prep_score","task_score","comp_choice_do","bonus_task","task_comp_check_acc","pay_comp_check_acc","n_comp_wrong","extra_prep_count","pract_choice","total_time","time_qs","perf_fixed_rounds","extra_prep_count_time","perf_extra_prep","fati","fab"
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.452,0.697,4.252,1.167,1.587,0.707,1.193,0.768,3.705,0.789,1.5,0.777,1.391,6.143,2.19,1.507,10.536,3.294,1.164,1.341,2.373,0.646,2.081,0.897,"$12","$0|$.25|$1.20|$12",NA,NA,"$24","$2|$.25|$0|$24",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"tournament",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pract",6,1,11,"pr_first",NA,0,0,0,1,"Yes",32.198,33.424,0.179511728099569,120,0.00833333333333333,NA,NA
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,16.333,1.909,11.054,1.414,11.807,1.015,10.798,1.768,13.5655,1.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$.25|$12|$0|$1.20",NA,NA,"$24","$.25|$24|$0|$2",NA,NA,"$0","$.25|$24|$0|$2",NA,NA,"piecerate",50,"Women","Women","Men",2,"No","Women",3,3,5,5,6,5,5,4,"If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|Being a top scholar of math requires a special aptitude that just can’t be taught.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|People who are successful in math are very different from ordinary people.|With the right amount of effort and dedication, anyone can become a top scholar in math.",6,27,"White/Caucasian",NA,"$20,000 to $30,000","Some College",NA,"control",4,NA,67,"pr_first",6.7,0,0,0,0,"No",70.7045,63.5575,0.0629351374739409,NA,NA,3,5
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.985,1.873,15.046,1.913,14.6,1.454,16.285,2.105,12.45,2.06,17.512,1.75,20.421,2.573,22.1,2.619,30.67,1.998,11.707,1.724,24.53,5.254,20.402,2.655,"$12","$12|$1.20|$0|$.25",NA,NA,"$24","$24|$2|$.25|$0",NA,NA,"$0","$.25|$24|$2|$0",NA,NA,"piecerate",60,"Men","Women","Men",5,"No","Women",5,5,6,6,6,4,6,6,"To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|Being a top scholar of math requires a special aptitude that just can’t be taught.|With the right amount of effort and dedication, anyone can become a top scholar in math.|People who are successful in math are very different from ordinary people.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.",5,47,"White/Caucasian",NA,"$100,000 to $200,00","Graduate Degree","no","pract",56,NA,56,"tournament_first",5.6,0,0,0,0,"No",169.276,215.708,0.259610213807555,NA,NA,5,5.66666666666667
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.555,4.152,18.289,7.695,16.808,4.333,15.392,4.555,15.82,2.5,19.684,5.096,19.066,3.495,23.816,4.976,17.66,6.126,14.321,3.347,15.865,3.151,21.611,4.615,"$12","$0|$12|$.25|$1.20",NA,NA,"$24","$.25|$0|$24|$2",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"tournament",90,"Men","Women","Men",8,"No","Women",2,2,6,6,2,2,6,6,"When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|With the right amount of effort and dedication, anyone can become a top scholar in math.|People who are successful in math are very different from ordinary people.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|Being a top scholar of math requires a special aptitude that just can’t be taught.",7,53,"White/Caucasian",NA,"Less than $10,000","Some College",NA,"pract",57,NA,50,"tournament_first",10,0,0,0,0,"No",197.097,213.887,0.266495859963439,NA,NA,2,4.66666666666667
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,137.211,6.509,50.527,14.652,17.457,3.025,15.94,15.896,76.5755,3.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.25","$0|$1.20|$.25|$12","$14","$.25|$1.40|$0|$14","$24","$2|$0|$24|$.25",NA,NA,"$24","$2|$24|$.25|$0","$0","$0|$.25|$2|$28","piecerate",90,"Men","Men","Men",9,"Yes","Men",2,4,5,4,2,5,5,3,"If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|People who are successful in math are very different from ordinary people.|Being a top scholar of math requires a special aptitude that just can’t be taught.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|With the right amount of effort and dedication, anyone can become a top scholar in math.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.",6,27,"Black/African-American",NA,"$20,000 to $30,000","Bachelor's Degree","GOOD","control",4,47,14,"pr_first",1.4,0,2,2,3,"Yes",341.5345,297.7105,0.0134358714254284,360,0.130555555555556,3,4
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,19.065,3.489,13.601,1.372,27.704,0.994,14.652,0.89,16.8585,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$.25|$0|$12|$1.20",NA,NA,"$24","$24|$.25|$0|$2",NA,NA,"$24","$24|$2|$0|$.25","$0","$0|$2|$28|$.25","tournament",80,"Men","Men","Men",7,"No","Women",4,3,4,4,4,5,4,4,"If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|Being a top scholar of math requires a special aptitude that just can’t be taught.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|With the right amount of effort and dedication, anyone can become a top scholar in math.|People who are successful in math are very different from ordinary people.",4,25,"East Asian",NA,"$60,000 to $70,000","Bachelor's Degree",NA,"control",4,NA,56,"pr_first",0,0,1,1,0,"No",99.4275,91.8805,0.0435348088005616,NA,NA,3.5,4.16666666666667
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.615,1.5,12.485,1.49,35.3,10.151,19.959,1.114,19.691,1.664,22.733,1.23,26.063,1.001,27.923,0.819,22.985,1.208,13.362,1.644,17.963,1.787,26.543,1.405,"$1.20","$12|$0|$.25|$1.20","$14","$1.40|$14|$.25|$0","$24","$.25|$24|$0|$2",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"piecerate",30,"Men","Men","Men",3,"No","Men",2,2,5,6,2,6,6,5,"People who are successful in math are very different from ordinary people.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|With the right amount of effort and dedication, anyone can become a top scholar in math.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|Being a top scholar of math requires a special aptitude that just can’t be taught.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.",6,25,"White/Caucasian",NA,"$30,000 to $40,000","Vocational Training",NA,"pract",56,NA,21,"pr_first",2.1,0,1,1,0,"No",209.701,253.622,0.220801034610562,NA,NA,2,5
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,16.149,3.745,12.082,15.433,12.173,1.294,13.273,2.356,14.711,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1.20","$.25|$1.20|$12|$0","$14","$.25|$14|$1.40|$0","$2","$24|$0|$2|$.25","$28","$0|$.25|$28|$2","$0.25","$2|$.25|$0|$24","$0","$2|$28|$.25|$0","tournament",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",3,120,NA,"tournament_first",NA,0,3,3,3,"Yes",92.446,68.388,0.0438673451482716,360,0.333333333333333,NA,NA
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.068,3,39.036,4.792,46.159,3.693,42.902,2.996,39.839,4.163,42.581,3.427,39.201,3.954,40.235,3.118,41.449,2.642,30.467,9.447,44.022,3.593,49.873,12.046,"$12","$.25|$1.20|$12|$0",NA,NA,"$24","$24|$2|$0|$.25",NA,NA,"$24","$24|$2|$0|$.25","$0","$28|$2|$0|$.25","piecerate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pract",55,NA,NA,"tournament_first",NA,0,1,1,NA,NA,392.186,484.832,0.113441357006138,NA,NA,NA,NA
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,20.385,3.631,15.33,2.647,13.792,3.313,12.501,2.886,16.443,1.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$.25|$0|$12|$1.20",NA,NA,"$24","$.25|$2|$0|$24",NA,NA,"$0","$2|$24|$.25|$0",NA,NA,"tournament",50,"Men","Women","Men",10,"No","Women",4,4,7,4,1,1,7,7,"When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|Being a top scholar of math requires a special aptitude that just can’t be taught.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|People who are successful in math are very different from ordinary people.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|With the right amount of effort and dedication, anyone can become a top scholar in math.",6,46,"White/Caucasian",NA,"$80,000 to $90,000","Bachelor's Degree",NA,"control",5,NA,25,"pr_first",0,0,0,0,0,"No",92.63,78.451,0.0637340505538489,NA,NA,4,4.5
